edge,score
m8->a14.h13<k>,0.0519470975
a0.h7->m0,0.0517955503566284
a15.h8->a20.h14<q>,0.0517032600625
m14->m17,0.0515041018801269
a1.h5->m5,0.05145548
a11.h15->a12.h3<k>,0.051394396
m4->m11,0.0512630670969238
m4->a7.h6<v>,0.05109021575
m8->a10.h15<q>,0.050873199290039
a10.h8->a12.h9<v>,0.050832212
a7.h8->m8,0.0505694079978027
a2.h6->m4,0.050486624
a8.h1->a13.h4<v>,0.05048529
a1.h4->m1,0.050449865
m10->a13.h4<q>,0.050142847
a13.h1->m13,0.0498905773296508
a8.h8->a14.h13<q>,0.04985536678125
a1.h15->m1,0.04984096
a6.h3->m8,0.0497323203125
m5->a6.h4<k>,0.04971428
a10.h1->m10,0.0495104674765625
a2.h14->m3,0.0494341863916015
m5->m10,0.0490889473203125
a22.h13->a23.h15<q>,0.049080916
input->m4,0.048651144
a13.h15->m13,0.048585594013916
a8.h2->m8,0.0483124981972656
m1->m6,0.0482937091203613
a15.h8->a18.h8<q>,0.04806855765625
a12.h7->m13,0.0480213943828125
m12->a14.h13<k>,0.0478611497949218
m20->logits,0.0475729306254882
a14.h11->a20.h14<q>,0.04757271003125
a12.h3->a13.h2<q>,0.04756104028125
a8.h9->m8,0.0475104214433593
a0.h2->m0,0.0472527525
a6.h1->m8,0.0468746259477539
a14.h11->a15.h0<v>,0.0467421999687499
m2->a4.h8<q>,0.04657162
m11->m12,0.0465221385902099
m7->a9.h7<v>,0.0464858585
a9.h14->m9,0.0464621678984375
a23.h14->logits,0.046445414
a1.h12->m8,0.046369255
m9->a14.h13<q>,0.0463236570800781
a13.h4->a20.h14<q>,0.0462697145
a4.h6->m5,0.046245217
a12.h0->m13,0.0462207391220703
a4.h2->m7,0.046208361796875
a14.h11->a18.h4<q>,0.0458333485
a8.h8->m10,0.0456152858242187
m5->a7.h2<q>,0.04532277
m14->a15.h0<k>,0.0452818405
a11.h11->m12,0.0450770058122558
a6.h12->m6,0.0449509663730468
a3.h5->m6,0.0446953980625
input->a1.h8<v>,0.04456536
m10->a13.h12<q>,0.044510555
a12.h3->a13.h12<v>,0.0444832705385742
a13.h6->a16.h6<q>,0.0443723953437499
a15.h9->m15,0.0443482485
a10.h4->m10,0.044309080489746
m17->a18.h8<k>,0.04397695703125
a15.h8->a18.h4<q>,0.0437619795
a4.h13->m5,0.04339033396875
a20.h1->m22,0.0432419395680236
m9->a14.h13<k>,0.0431836206249999
a3.h1->m8,0.0431329345
a13.h4->a14.h11<q>,0.0431123580366211
m2->a3.h14<q>,0.0429790564062499
a16.h6->a18.h8<q>,0.04288022725
a10.h1->a13.h4<v>,0.042754287875
a16.h1->logits,0.042677764
m15->a18.h8<k>,0.0426447355
a12.h7->m12,0.0426056462968749
a22.h13->a23.h15<k>,0.0425074399999999
a6.h2->m10,0.04242370121875
a23.h5->logits,0.0424209437148437
m12->a13.h1<k>,0.0421361364023437
a13.h4->a15.h0<v>,0.041747878640625
m6->a11.h11<k>,0.041575048375
a14.h15->a16.h6<q>,0.04153373921875
a12.h3->a13.h1<q>,0.041483278
m0->m3,0.0413411762562255
m5->a8.h10<v>,0.04133278725
input->a1.h10<v>,0.041003492
a7.h3->m7,0.040952040390625
a8.h7->m12,0.0407783455
a13.h4->a18.h8<q>,0.040751263625
a0.h1->m5,0.0407041251875
m10->a11.h0<v>,0.04053682
a10.h8->a11.h7<q>,0.040462684
a19.h13->a23.h14<q>,0.0403632485
a4.h13->m4,0.040331787656372
a4.h2->m9,0.0402740683515625
a2.h15->m2,0.040123579
a9.h5->m12,0.04001858121875
a3.h14->m3,0.0398887018085937
m13->a14.h4<q>,0.0397588232480468
m13->a14.h15<q>,0.039757144921875
a10.h8->a11.h11<k>,0.0397212879726562
a8.h8->a9.h5<q>,0.0395886937197265
m6->m15,0.039328919
m16->m23,0.0391364956875
a10.h8->a13.h12<v>,0.0390561195859375
m8->a11.h7<q>,0.039054725
a12.h5->m13,0.039043006
a7.h7->m7,0.0387884258320312
a18.h0->logits,0.0387421741738281
m10->a11.h11<v>,0.0386799595
a15.h9->a16.h6<q>,0.03862962925
m13->m17,0.0386214046875
a8.h10->a9.h15<q>,0.03857357725
m9->a10.h6<v>,0.0385451024375
a12.h5->m12,0.0385006587421875
a10.h8->a12.h8<v>,0.038471222
m0->m6,0.038351513637207
a13.h4->a14.h10<q>,0.03828537775
a8.h10->m8,0.038155957994934
m9->a12.h14<v>,0.038104253078125
a0.h1->a6.h10<v>,0.038094504
a12.h8->a13.h4<v>,0.038066248671875
