,score,abs_score,source,target
a14.h15->a15.h8<q>,0.042746305,0.042746305,Node(a14.h15),Node(a15.h8)
m14->a15.h11<v>,-0.019256407,0.019256407,Node(m14),Node(a15.h11)
m10->m15,0.04474197,0.04474197,Node(m10),Node(m15)
a11.h4->m15,-0.026617965,0.026617965,Node(a11.h4),Node(m15)
m12->m15,-0.025385737,0.025385737,Node(m12),Node(m15)
a13.h2->m15,-0.018738374,0.018738374,Node(a13.h2),Node(m15)
a13.h12->m15,0.019370623,0.019370623,Node(a13.h12),Node(m15)
m13->m15,0.05778044,0.05778044,Node(m13),Node(m15)
a14.h11->m15,-0.025699897,0.025699897,Node(a14.h11),Node(m15)
m14->m15,0.047256034,0.047256034,Node(m14),Node(m15)
a15.h7->m15,-0.017879855,0.017879855,Node(a15.h7),Node(m15)
a15.h11->m15,-0.018783187,0.018783187,Node(a15.h11),Node(m15)
a13.h4->a16.h2<q>,0.020969566,0.020969566,Node(a13.h4),Node(a16.h2)
a13.h4->a16.h6<q>,-0.021652423,0.021652423,Node(a13.h4),Node(a16.h6)
a13.h4->a16.h6<v>,-0.017895391,0.017895391,Node(a13.h4),Node(a16.h6)
a14.h11->a16.h6<q>,-0.027815353,0.027815353,Node(a14.h11),Node(a16.h6)
a14.h15->a16.h6<q>,0.025714684,0.025714684,Node(a14.h15),Node(a16.h6)
a15.h8->a16.h6<q>,-0.022543436,0.022543436,Node(a15.h8),Node(a16.h6)
m8->m16,0.019813396,0.019813396,Node(m8),Node(m16)
m10->m16,-0.021330707,0.021330707,Node(m10),Node(m16)
m15->m16,0.022744741,0.022744741,Node(m15),Node(m16)
a14.h15->a17.h15<q>,-0.022060454,0.022060454,Node(a14.h15),Node(a17.h15)
a15.h8->a17.h15<q>,0.019972874,0.019972874,Node(a15.h8),Node(a17.h15)
m14->m17,0.03253273,0.03253273,Node(m14),Node(m17)
a14.h13->a18.h0<q>,0.01930771,0.01930771,Node(a14.h13),Node(a18.h0)
